path,name,cat1,cat2,cat3
./images/deepCats/test/animal/bird/CUB_136.Barn_Swallow/Barn_Swallow_0038_132780.jpg,Barn_Swallow_0038_132780.jpg,animal,bird,CUB_136.Barn_Swallow
./images/deepCats/test/animal/bird/CUB_136.Barn_Swallow/Barn_Swallow_0052_131539.jpg,Barn_Swallow_0052_131539.jpg,animal,bird,CUB_136.Barn_Swallow
./images/deepCats/test/animal/bird/CUB_136.Barn_Swallow/Barn_Swallow_0089_131934.jpg,Barn_Swallow_0089_131934.jpg,animal,bird,CUB_136.Barn_Swallow
./images/deepCats/test/animal/bird/CUB_136.Barn_Swallow/Barn_Swallow_0022_130631.jpg,Barn_Swallow_0022_130631.jpg,animal,bird,CUB_136.Barn_Swallow
./images/deepCats/test/animal/bird/CUB_136.Barn_Swallow/Barn_Swallow_0085_132939.jpg,Barn_Swallow_0085_132939.jpg,animal,bird,CUB_136.Barn_Swallow
./images/deepCats/test/animal/bird/CUB_136.Barn_Swallow/Barn_Swallow_0003_130086.jpg,Barn_Swallow_0003_130086.jpg,animal,bird,CUB_136.Barn_Swallow
./images/deepCats/test/animal/bird/CUB_136.Barn_Swallow/Barn_Swallow_0023_130325.jpg,Barn_Swallow_0023_130325.jpg,animal,bird,CUB_136.Barn_Swallow
./images/deepCats/test/animal/bird/CUB_136.Barn_Swallow/Barn_Swallow_0013_131812.jpg,Barn_Swallow_0013_131812.jpg,animal,bird,CUB_136.Barn_Swallow
./images/deepCats/test/animal/bird/CUB_136.Barn_Swallow/Barn_Swallow_0034_130099.jpg,Barn_Swallow_0034_130099.jpg,animal,bird,CUB_136.Barn_Swallow
./images/deepCats/test/animal/bird/CUB_136.Barn_Swallow/Barn_Swallow_0054_131146.jpg,Barn_Swallow_0054_131146.jpg,animal,bird,CUB_136.Barn_Swallow
./images/deepCats/test/animal/bird/CUB_136.Barn_Swallow/Barn_Swallow_0020_132317.jpg,Barn_Swallow_0020_132317.jpg,animal,bird,CUB_136.Barn_Swallow
./images/deepCats/test/animal/bird/CUB_136.Barn_Swallow/Barn_Swallow_0053_130585.jpg,Barn_Swallow_0053_130585.jpg,animal,bird,CUB_136.Barn_Swallow
./images/deepCats/test/animal/bird/CUB_136.Barn_Swallow/Barn_Swallow_0093_130121.jpg,Barn_Swallow_0093_130121.jpg,animal,bird,CUB_136.Barn_Swallow
