path,name,cat1,cat2,cat3
./images/deepCats/train/animal/bird/CUB_136.Barn_Swallow/Barn_Swallow_0030_130191.jpg,Barn_Swallow_0030_130191.jpg,animal,bird,CUB_136.Barn_Swallow
./images/deepCats/train/animal/bird/CUB_136.Barn_Swallow/Barn_Swallow_0065_131555.jpg,Barn_Swallow_0065_131555.jpg,animal,bird,CUB_136.Barn_Swallow
./images/deepCats/train/animal/bird/CUB_136.Barn_Swallow/Barn_Swallow_0060_130110.jpg,Barn_Swallow_0060_130110.jpg,animal,bird,CUB_136.Barn_Swallow
./images/deepCats/train/animal/bird/CUB_136.Barn_Swallow/Barn_Swallow_0078_130385.jpg,Barn_Swallow_0078_130385.jpg,animal,bird,CUB_136.Barn_Swallow
./images/deepCats/train/animal/bird/CUB_136.Barn_Swallow/Barn_Swallow_0070_130127.jpg,Barn_Swallow_0070_130127.jpg,animal,bird,CUB_136.Barn_Swallow
./images/deepCats/train/animal/bird/CUB_136.Barn_Swallow/Barn_Swallow_0075_130014.jpg,Barn_Swallow_0075_130014.jpg,animal,bird,CUB_136.Barn_Swallow
./images/deepCats/train/animal/bird/CUB_136.Barn_Swallow/Barn_Swallow_0042_132043.jpg,Barn_Swallow_0042_132043.jpg,animal,bird,CUB_136.Barn_Swallow
./images/deepCats/train/animal/bird/CUB_136.Barn_Swallow/Barn_Swallow_0076_130757.jpg,Barn_Swallow_0076_130757.jpg,animal,bird,CUB_136.Barn_Swallow
./images/deepCats/train/animal/bird/CUB_136.Barn_Swallow/Barn_Swallow_0094_132154.jpg,Barn_Swallow_0094_132154.jpg,animal,bird,CUB_136.Barn_Swallow
./images/deepCats/train/animal/bird/CUB_136.Barn_Swallow/Barn_Swallow_0084_130800.jpg,Barn_Swallow_0084_130800.jpg,animal,bird,CUB_136.Barn_Swallow
./images/deepCats/train/animal/bird/CUB_136.Barn_Swallow/Barn_Swallow_0016_130678.jpg,Barn_Swallow_0016_130678.jpg,animal,bird,CUB_136.Barn_Swallow
./images/deepCats/train/animal/bird/CUB_136.Barn_Swallow/Barn_Swallow_0073_131389.jpg,Barn_Swallow_0073_131389.jpg,animal,bird,CUB_136.Barn_Swallow
./images/deepCats/train/animal/bird/CUB_136.Barn_Swallow/Barn_Swallow_0035_131832.jpg,Barn_Swallow_0035_131832.jpg,animal,bird,CUB_136.Barn_Swallow
./images/deepCats/train/animal/bird/CUB_136.Barn_Swallow/Barn_Swallow_0064_132688.jpg,Barn_Swallow_0064_132688.jpg,animal,bird,CUB_136.Barn_Swallow
./images/deepCats/train/animal/bird/CUB_136.Barn_Swallow/Barn_Swallow_0049_130181.jpg,Barn_Swallow_0049_130181.jpg,animal,bird,CUB_136.Barn_Swallow
./images/deepCats/train/animal/bird/CUB_136.Barn_Swallow/Barn_Swallow_0066_130214.jpg,Barn_Swallow_0066_130214.jpg,animal,bird,CUB_136.Barn_Swallow
./images/deepCats/train/animal/bird/CUB_136.Barn_Swallow/Barn_Swallow_0045_130244.jpg,Barn_Swallow_0045_130244.jpg,animal,bird,CUB_136.Barn_Swallow
./images/deepCats/train/animal/bird/CUB_136.Barn_Swallow/Barn_Swallow_0077_130707.jpg,Barn_Swallow_0077_130707.jpg,animal,bird,CUB_136.Barn_Swallow
./images/deepCats/train/animal/bird/CUB_136.Barn_Swallow/Barn_Swallow_0002_130551.jpg,Barn_Swallow_0002_130551.jpg,animal,bird,CUB_136.Barn_Swallow
./images/deepCats/train/animal/bird/CUB_136.Barn_Swallow/Barn_Swallow_0047_130016.jpg,Barn_Swallow_0047_130016.jpg,animal,bird,CUB_136.Barn_Swallow
./images/deepCats/train/animal/bird/CUB_136.Barn_Swallow/Barn_Swallow_0005_130591.jpg,Barn_Swallow_0005_130591.jpg,animal,bird,CUB_136.Barn_Swallow
./images/deepCats/train/animal/bird/CUB_136.Barn_Swallow/Barn_Swallow_0017_132951.jpg,Barn_Swallow_0017_132951.jpg,animal,bird,CUB_136.Barn_Swallow
./images/deepCats/train/animal/bird/CUB_136.Barn_Swallow/Barn_Swallow_0056_132916.jpg,Barn_Swallow_0056_132916.jpg,animal,bird,CUB_136.Barn_Swallow
./images/deepCats/train/animal/bird/CUB_136.Barn_Swallow/Barn_Swallow_0018_130709.jpg,Barn_Swallow_0018_130709.jpg,animal,bird,CUB_136.Barn_Swallow
./images/deepCats/train/animal/bird/CUB_136.Barn_Swallow/Barn_Swallow_0026_132386.jpg,Barn_Swallow_0026_132386.jpg,animal,bird,CUB_136.Barn_Swallow
./images/deepCats/train/animal/bird/CUB_136.Barn_Swallow/Barn_Swallow_0069_130368.jpg,Barn_Swallow_0069_130368.jpg,animal,bird,CUB_136.Barn_Swallow
./images/deepCats/train/animal/bird/CUB_136.Barn_Swallow/Barn_Swallow_0021_130367.jpg,Barn_Swallow_0021_130367.jpg,animal,bird,CUB_136.Barn_Swallow
./images/deepCats/train/animal/bird/CUB_136.Barn_Swallow/Barn_Swallow_0015_132757.jpg,Barn_Swallow_0015_132757.jpg,animal,bird,CUB_136.Barn_Swallow
./images/deepCats/train/animal/bird/CUB_136.Barn_Swallow/Barn_Swallow_0048_132793.jpg,Barn_Swallow_0048_132793.jpg,animal,bird,CUB_136.Barn_Swallow
./images/deepCats/train/animal/bird/CUB_136.Barn_Swallow/Barn_Swallow_0043_130779.jpg,Barn_Swallow_0043_130779.jpg,animal,bird,CUB_136.Barn_Swallow
./images/deepCats/train/animal/bird/CUB_002.Laysan_Albatross/Laysan_Albatross_0081_800.jpg,Laysan_Albatross_0081_800.jpg,animal,bird,CUB_002.Laysan_Albatross
./images/deepCats/train/animal/bird/CUB_002.Laysan_Albatross/Laysan_Albatross_0100_735.jpg,Laysan_Albatross_0100_735.jpg,animal,bird,CUB_002.Laysan_Albatross
./images/deepCats/train/animal/bird/CUB_002.Laysan_Albatross/Laysan_Albatross_0088_883.jpg,Laysan_Albatross_0088_883.jpg,animal,bird,CUB_002.Laysan_Albatross
./images/deepCats/train/animal/bird/CUB_002.Laysan_Albatross/Laysan_Albatross_0039_924.jpg,Laysan_Albatross_0039_924.jpg,animal,bird,CUB_002.Laysan_Albatross
./images/deepCats/train/animal/bird/CUB_002.Laysan_Albatross/Laysan_Albatross_0013_910.jpg,Laysan_Albatross_0013_910.jpg,animal,bird,CUB_002.Laysan_Albatross
./images/deepCats/train/animal/bird/CUB_002.Laysan_Albatross/Laysan_Albatross_0025_571.jpg,Laysan_Albatross_0025_571.jpg,animal,bird,CUB_002.Laysan_Albatross
./images/deepCats/train/animal/bird/CUB_002.Laysan_Albatross/Laysan_Albatross_0094_1013.jpg,Laysan_Albatross_0094_1013.jpg,animal,bird,CUB_002.Laysan_Albatross
./images/deepCats/train/animal/bird/CUB_002.Laysan_Albatross/Laysan_Albatross_0071_792.jpg,Laysan_Albatross_0071_792.jpg,animal,bird,CUB_002.Laysan_Albatross
./images/deepCats/train/animal/bird/CUB_002.Laysan_Albatross/Laysan_Albatross_0055_570.jpg,Laysan_Albatross_0055_570.jpg,animal,bird,CUB_002.Laysan_Albatross
./images/deepCats/train/animal/bird/CUB_002.Laysan_Albatross/Laysan_Albatross_0068_726.jpg,Laysan_Albatross_0068_726.jpg,animal,bird,CUB_002.Laysan_Albatross
./images/deepCats/train/animal/bird/CUB_002.Laysan_Albatross/Laysan_Albatross_0083_756.jpg,Laysan_Albatross_0083_756.jpg,animal,bird,CUB_002.Laysan_Albatross
./images/deepCats/train/animal/bird/CUB_002.Laysan_Albatross/Laysan_Albatross_0044_784.jpg,Laysan_Albatross_0044_784.jpg,animal,bird,CUB_002.Laysan_Albatross
./images/deepCats/train/animal/bird/CUB_002.Laysan_Albatross/Laysan_Albatross_0099_869.jpg,Laysan_Albatross_0099_869.jpg,animal,bird,CUB_002.Laysan_Albatross
./images/deepCats/train/animal/bird/CUB_002.Laysan_Albatross/Laysan_Albatross_0073_927.jpg,Laysan_Albatross_0073_927.jpg,animal,bird,CUB_002.Laysan_Albatross
./images/deepCats/train/animal/bird/CUB_002.Laysan_Albatross/Laysan_Albatross_0051_1020.jpg,Laysan_Albatross_0051_1020.jpg,animal,bird,CUB_002.Laysan_Albatross
./images/deepCats/train/animal/bird/CUB_002.Laysan_Albatross/Laysan_Albatross_0061_563.jpg,Laysan_Albatross_0061_563.jpg,animal,bird,CUB_002.Laysan_Albatross
./images/deepCats/train/animal/bird/CUB_002.Laysan_Albatross/Laysan_Albatross_0029_482.jpg,Laysan_Albatross_0029_482.jpg,animal,bird,CUB_002.Laysan_Albatross
./images/deepCats/train/animal/bird/CUB_002.Laysan_Albatross/Laysan_Albatross_0096_673.jpg,Laysan_Albatross_0096_673.jpg,animal,bird,CUB_002.Laysan_Albatross
./images/deepCats/train/animal/bird/CUB_002.Laysan_Albatross/Laysan_Albatross_0085_564.jpg,Laysan_Albatross_0085_564.jpg,animal,bird,CUB_002.Laysan_Albatross
./images/deepCats/train/animal/bird/CUB_002.Laysan_Albatross/Laysan_Albatross_0065_809.jpg,Laysan_Albatross_0065_809.jpg,animal,bird,CUB_002.Laysan_Albatross
